Time RV eRV BIS FWHM Contrast
53311.54098892 -8.75762306 0.47910146 -59.38550420 6720.52804878 53.55140251
53311.54360973 -6.38850769 0.48111459 -57.84474201 6721.76157127 53.53310284
53312.56159219 -3.64123469 0.60526967 -59.95742551 6725.19446746 53.53934218
53312.56503087 -6.24861369 0.57851916 -59.52528331 6724.47472028 53.53652765
53312.56843287 -5.06723188 0.55175748 -58.02568974 6724.74523847 53.52787332
53314.54042048 -2.55406710 0.68528471 -58.74618490 6726.62944611 53.50707066
53314.54263701 0.98107536 0.67606283 -59.71253343 6721.53035512 53.53235276
53314.54483869 -3.54689712 0.69116021 -58.13496729 6724.59893956 53.53230151
53314.54705695 -0.38553275 0.72031998 -58.36908651 6718.95695927 53.54273114
53314.54921698 -2.57944946 0.72602782 -57.13453928 6721.91321101 53.55474597
53321.60105425 -3.93631547 0.54166899 -60.91740368 6724.45438633 53.53569330
53321.60369430 -4.37236539 0.52308650 -57.32118691 6725.16925780 53.53647736
53321.60632646 -5.10658045 0.57728405 -56.09884162 6722.80874543 53.54711950
53321.60906974 -3.94544170 0.61399894 -58.65186301 6726.09086931 53.52596198
53340.51077536 -5.16337982 0.42355009 -58.28774357 6721.73527002 53.54915907
53340.51423238 -4.54314010 0.41886720 -58.59570329 6723.81764570 53.55442093
53340.51775247 -4.71975230 0.42739053 -58.87635320 6721.84129574 53.55202921
53342.50641029 -3.30890134 0.45049822 -58.31508815 6720.65365437 53.52408246
53342.50992424 -1.52958806 0.51105017 -58.89072494 6722.57023718 53.49890386
53342.51350522 -1.69394245 0.53818788 -58.71652636 6722.58831948 53.50526141
53484.88487702 -2.65197956 0.45829178 -58.42780848 6728.68192850 53.70004964
53484.88842772 -3.60496480 0.44628841 -58.18767217 6730.54789906 53.70368915
53484.89187540 -1.97709976 0.43995831 -57.12514572 6728.03527776 53.70958489
53491.89095401 -3.17872290 0.46978970 -58.08113187 6721.62239722 53.54567111
53491.89441731 -3.83568103 0.46236562 -57.81661229 6719.88486802 53.54441894
53491.89796499 -3.35276301 0.50242508 -57.65036926 6720.57350263 53.53827978
53511.90589790 -3.59035717 0.60168898 -57.93407345 6721.30221639 53.47399439
53511.90846992 -5.56707435 0.60251390 -55.77444258 6723.34163064 53.45557602
53511.91114684 -6.47800739 0.61649728 -59.85795961 6720.70408918 53.47960767
53511.91378854 -4.25280620 0.60162102 -57.44753422 6721.87975468 53.47538184
53512.83672478 -3.36601766 0.72686387 -56.18287733 6728.19328789 53.60320937
53512.84024268 -3.38288705 0.64653331 -56.59508394 6726.59177592 53.61947363
53512.84375997 -4.27933154 0.67463060 -56.91171228 6726.95765112 53.61097265
53515.85900044 -1.31976413 0.66723893 -59.51155295 6727.13501387 53.51691366
53515.86432840 -1.95904613 0.60240215 -58.27202721 6721.98634723 53.52114883
